?ÅÏóÖ???∏Îç±???ÅÏäπ?àÏ∏°?ïÎ•†,?§Ï†ú?òÏùµÎ•?,
1~20??Ï∞?KOSPI,0.0009,0.063095559
1~20??Ï∞?KOSDAQ,0.2509,-0.006145128
1~20??Ï∞?NASDAQ,0.957,0.131117657
1~20??Ï∞?HSI,0.3512,0.510114796
1~20??Ï∞?S&P500,0.0067,0.119829757
21~40??Ï∞?KOSPI,0,0.003268779
21~40??Ï∞?KOSDAQ,0.0003,0.023125337
21~40??Ï∞?NASDAQ,0,0.06029776
21~40??Ï∞?HSI,0,0.264201745
21~40??Ï∞?S&P500,0,0.057338571
41~60??Ï∞?KOSPI,0.9817,-0.009912774
41~60??Ï∞?KOSDAQ,0.0497,-0.018464427
41~60??Ï∞?NASDAQ,0,-0.008283696
41~60??Ï∞?HSI,0.0182,-0.260128318
41~60??Ï∞?S&P500,0,0.031096703
61~80??Ï∞?KOSPI,0.9933,0.046835809
61~80??Ï∞?KOSDAQ,0.9991,0.01561855
61~80??Ï∞?NASDAQ,0.9975,0.059644469
61~80??Ï∞?HSI,1,0.069465663
61~80??Ï∞?S&P500,0.3181,0.028364183
81~100??Ï∞?KOSPI,0.0009,-0.055855613
81~100??Ï∞?KOSDAQ,0.0067,-0.038242087
81~100??Ï∞?NASDAQ,0.0009,-0.079189553
81~100??Ï∞?HSI,0.8647,0.202703183
81~100??Ï∞?S&P500,0.0067,-0.051827569
101~120??Ï∞?KOSPI,0.0183,0.111225489
101~120??Ï∞?KOSDAQ,0.0498,0.055768952
101~120??Ï∞?NASDAQ,0.9685,0.115750951
101~120??Ï∞?HSI,0.0001,0.19196579
101~120??Ï∞?S&P500,0.9685,0.080401799
121~140??Ï∞?KOSPI,0,0.062845881
121~140??Ï∞?KOSDAQ,0.8647,-0.11992243
121~140??Ï∞?NASDAQ,0,0.017964415
121~140??Ï∞?HSI,0.0016,0.176844202
121~140??Ï∞?S&P500,0,0.004167538
141~160??Ï∞?KOSPI,0.9502,0.032937606
141~160??Ï∞?KOSDAQ,1,0.05574234
141~160??Ï∞?NASDAQ,0.6321,0.035884904
141~160??Ï∞?HSI,0,-0.031579363
141~160??Ï∞?S&P500,0.6321,0.003641734
161~180??Ï∞?KOSPI,0.0001,-0.06586662
161~180??Ï∞?KOSDAQ,0,-0.214070825
