,KOSPI,KOSDAQ,NASDAQ,HSI,S&P500
DAY 1~20,,,11311.17657,,
DAY 21~40,11311.17657,,,,
DAY 41~60,11199.05143,,,,
DAY 61~80,2930.892017,2843.491093,2966.753228,2994.25024,
DAY 81~100,,,,14114.18679,
DAY 101~120,,,7873.958669,,7624.496403
DAY 121~140,,13639.84269,,,
DAY 141~160,3522.276612,3600.039858,3532.326784,,3422.37884
DAY 161~180,14077.02209,,,,
DAY 181~200,2812.900421,2672.277402,2875.399664,2934.123321,2917.934459
DAY 201~220,,15909.22289,,,
DAY 221~240,15909.22289,,,,
DAY 241~260,8070.456905,7875.548918,,,
DAY 261~280,,7774.238708,,8627.748197,
DAY 281~300,,17562.17283,,,
DAY 301~320,,6206.844509,6223.290781,,6020.891959
DAY 321~340,18451.02725,,,,
DAY 341~360,,6259.986273,6113.814389,7580.086203,
DAY 361~380,,,10214.13832,,10178.95466
DAY 381~400,7133.237087,7690.955077,6857.117738,,
DAY 401~420,,,,23655.58803,
DAY 421~440,,,,26650.48829,
DAY 441~460,25183.20632,,,,
DAY 461~480,13442.74839,17645.83164,,,
DAY 481~500,,,33390.41195,,
DAY 501~520,17990.2751,16745.94357,,,
DAY 521~540,,19561.18815,,16432.66842,
DAY 541~560,,8694.337741,9090.527882,9326.574834,9131.622246
DAY 561~580,15935.27932,,19133.40025,,
DAY 581~600,10810.74347,10750.99423,,12234.77698,
DAY 601~620,8065.726653,8022.0945,8895.298969,,8862.450735
DAY 621~640,18264.83742,19982.44458,,,
DAY 641~660,38247.28199,,,,
DAY 661~680,8734.618058,8019.526857,9098.549431,10639.75223,
DAY 681~700,,,16897.80263,,17423.47562
