,영업일,인덱스,상승예측확률,실제수익률
0,1~20일 차,KOSPI,0.0009,0.06309555854643367
0,1~20일 차,KOSDAQ,0.2509,-0.00614512805416545
0,1~20일 차,NASDAQ,0.957,0.1311176568665593
0,1~20일 차,HSI,0.3512,0.510114796395319
0,1~20일 차,S&P500,0.0067,0.11982975662390616
0,21~40일 차,KOSPI,0.0,0.003268779053532178
0,21~40일 차,KOSDAQ,0.0003,0.023125337169573434
0,21~40일 차,NASDAQ,0.0,0.060297760228116504
0,21~40일 차,HSI,0.0,0.26420174525818374
0,21~40일 차,S&P500,0.0,0.0573385710340899
0,41~60일 차,KOSPI,0.9817,-0.009912774109399614
0,41~60일 차,KOSDAQ,0.0497,-0.01846442728979747
0,41~60일 차,NASDAQ,0.0,-0.008283696151257902
0,41~60일 차,HSI,0.0182,-0.2601283181606233
0,41~60일 차,S&P500,0.0,0.0310967033720968
0,61~80일 차,KOSPI,0.9933,0.04683580937680931
0,61~80일 차,KOSDAQ,0.9991,0.015618549607816057
0,61~80일 차,NASDAQ,0.9975,0.05964446939848922
0,61~80일 차,HSI,1.0,0.06946566266773169
0,61~80일 차,S&P500,0.3181,0.02836418293589138
0,81~100일 차,KOSPI,0.0009,-0.05585561256638771
0,81~100일 차,KOSDAQ,0.0067,-0.03824208667300655
0,81~100일 차,NASDAQ,0.0009,-0.07918955250208326
0,81~100일 차,HSI,0.8647,0.20270318335408088
0,81~100일 차,S&P500,0.0067,-0.05182756925094245
0,101~120일 차,KOSPI,0.0183,0.1112254885416315
0,101~120일 차,KOSDAQ,0.0498,0.055768952022031915
0,101~120일 차,NASDAQ,0.9685,0.11575095102807365
0,101~120일 차,HSI,0.0001,0.19196579040029804
0,101~120일 차,S&P500,0.9685,0.08040179920110102
0,121~140일 차,KOSPI,0.0,0.06284588096176624
0,121~140일 차,KOSDAQ,0.8647,-0.11992242961526456
0,121~140일 차,NASDAQ,0.0,0.017964414931863626
0,121~140일 차,HSI,0.0016,0.17684420192000805
0,121~140일 차,S&P500,0.0,0.004167538131424786
0,141~160일 차,KOSPI,0.9502,0.03293760599839346
0,141~160일 차,KOSDAQ,1.0,0.05574233972644649
0,141~160일 차,NASDAQ,0.6321,0.03588490449575987
0,141~160일 차,HSI,0.0,-0.03157936308751075
0,141~160일 차,S&P500,0.6321,0.003641733805495484
0,161~180일 차,KOSPI,0.0001,-0.065866620454611
0,161~180일 차,KOSDAQ,0.0,-0.21407082532893573
0,161~180일 차,NASDAQ,0.0022,-0.01755291688177585
0,161~180일 차,HSI,0.0183,-0.08768709113950046
0,161~180일 차,S&P500,0.1351,-0.018163290705995982
0,181~200일 차,KOSPI,0.9984,-0.0008893919793014904
0,181~200일 차,KOSDAQ,1.0,-0.05083710752633419
0,181~200일 차,NASDAQ,0.9997,0.0213096367871628
0,181~200일 차,HSI,1.0,0.04216761936894575
0,181~200일 차,S&P500,0.9997,0.036417517808610134
0,201~220일 차,KOSPI,0.1195,0.09421453109448774
