?ÅÏóÖ???∏Îç±???ÅÏäπ?àÏ∏°?ïÎ•†,?§Ï†ú?òÏùµÎ•?,
1~20??Ï∞?KOSPI,0.9933,-0.002441301
1~20??Ï∞?KOSDAQ,0.0025,0.003882642
1~20??Ï∞?NASDAQ,0.957,0.131117657
1~20??Ï∞?HSI,0.9999,-0.121904908
1~20??Ï∞?S&P500,0.0067,0.119829757
21~40??Ï∞?KOSPI,0.0009,0.063095559
21~40??Ï∞?KOSDAQ,0.0065,-0.006145128
21~40??Ï∞?NASDAQ,0,0.06029776
21~40??Ï∞?HSI,0.9876,0.510114796
21~40??Ï∞?S&P500,0,0.057338571
41~60??Ï∞?KOSPI,0,0.003268779
41~60??Ï∞?KOSDAQ,0.0001,0.023125337
41~60??Ï∞?NASDAQ,0,-0.008283696
41~60??Ï∞?HSI,0,0.264201745
41~60??Ï∞?S&P500,0,0.031096703
61~80??Ï∞?KOSPI,0.9817,-0.009912774
61~80??Ï∞?KOSDAQ,0.0137,-0.018464427
61~80??Ï∞?NASDAQ,0.9975,0.059644469
61~80??Ï∞?HSI,0.018,-0.260128318
61~80??Ï∞?S&P500,0.2325,0.028364183
81~100??Ï∞?KOSPI,0.9817,0.046835809
81~100??Ï∞?KOSDAQ,0.9817,0.01561855
81~100??Ï∞?NASDAQ,0.0025,-0.079189553
81~100??Ï∞?HSI,1,0.069465663
81~100??Ï∞?S&P500,0.0067,-0.051827569
101~120??Ï∞?KOSPI,0.0009,-0.055855613
101~120??Ï∞?KOSDAQ,0.0067,-0.038242087
101~120??Ï∞?NASDAQ,1,0.115750951
101~120??Ï∞?HSI,0,0.202703183
101~120??Ï∞?S&P500,0.9685,0.080401799
121~140??Ï∞?KOSPI,0.0183,0.111225489
121~140??Ï∞?KOSDAQ,0.0498,0.055768952
121~140??Ï∞?NASDAQ,0,0.017964415
121~140??Ï∞?HSI,0.0001,0.19196579
121~140??Ï∞?S&P500,0,0.004167538
141~160??Ï∞?KOSPI,0,0.062845881
141~160??Ï∞?KOSDAQ,0.6321,-0.11992243
141~160??Ï∞?NASDAQ,0,0.035884904
141~160??Ï∞?HSI,0,0.176844202
141~160??Ï∞?S&P500,0.6321,0.003641734
161~180??Ï∞?KOSPI,0.9502,0.032937606
161~180??Ï∞?KOSDAQ,1,0.05574234
161~180??Ï∞?NASDAQ,0.0022,-0.017552917
161~180??Ï∞?HSI,0,-0.031579363
161~180??Ï∞?S&P500,0.1353,-0.018163291
181~200??Ï∞?KOSPI,0.0001,-0.06586662
181~200??Ï∞?KOSDAQ,0.0001,-0.214070825
181~200??Ï∞?NASDAQ,0.9997,0.021309637
181~200??Ï∞?HSI,0.0183,-0.087687091
181~200??Ï∞?S&P500,0.9997,0.036417518
201~220??Ï∞?KOSPI,0.9984,-0.000889392
201~220??Ï∞?KOSDAQ,1,-0.050837108
201~220??Ï∞?NASDAQ,0.0052,0.031621515
201~220??Ï∞?HSI,1,0.042167619
201~220??Ï∞?S&P500,0.0001,0.058467726
221~240??Ï∞?KOSPI,0.0025,0.094214531
221~240??Ï∞?KOSDAQ,0.9933,0.119371784
221~240??Ï∞?NASDAQ,0.0003,0.025890727
221~240??Ï∞?HSI,0,-0.04547793
221~240??Ï∞?S&P500,0,0.006765939
241~260??Ï∞?KOSPI,0,0.063935537
241~260??Ï∞?KOSDAQ,0,-0.080975565
241~260??Ï∞?NASDAQ,0,0.072076349
241~260??Ï∞?HSI,0.1353,0.122515622
241~260??Ï∞?S&P500,0,0.061795805
261~280??Ï∞?KOSPI,0,0.014563308
