Date,Close,Open,High,Low,Volume,Change
2011-01-24,29.9,29.9,29.9,29.9,5080,0.0495
2011-04-27,29.8,29.8,29.8,29.8,2490,-0.0033
2011-11-21,21.96,21.96,21.96,21.96,10,-0.2631
2011-12-08,23.89,23.89,23.89,23.89,450,0.0879
2011-12-13,23.11,23.11,23.11,23.11,160,-0.0326
2011-12-15,22.63,22.63,22.63,22.63,530,-0.0208
2011-12-19,22.64,22.64,22.64,22.64,150,0.0004
2011-12-20,22.89,22.89,22.89,22.89,699000,0.011
2011-12-23,23.34,23.34,23.34,23.34,210,0.0197
2011-12-28,23.31,23.31,23.31,23.31,699000,-0.0013
2012-01-03,24.2,24.2,24.2,24.2,340000,0.0382
2012-01-04,23.88,23.88,23.88,23.88,100000,-0.0132
2012-01-16,23.85,23.85,23.85,23.85,2500,-0.0013
2012-01-17,24.47,24.47,24.47,24.47,6270,0.026
2012-01-20,24.66,24.66,24.66,24.66,14200,0.0078
2012-02-01,25.05,25.05,25.05,25.05,110,0.0158
2012-02-06,25.45,25.45,25.45,25.45,1440,0.016
2012-02-08,25.69,25.69,25.69,25.69,12000,0.0094
2012-02-14,25.48,25.48,25.48,25.48,630,-0.0082
2012-02-16,25.34,25.34,25.34,25.34,1680000,-0.0055
2012-02-17,25.59,25.59,25.59,25.59,710,0.0099
2012-02-20,25.92,25.92,25.92,25.92,30000,0.0129
2012-02-21,25.77,25.77,25.77,25.77,300,-0.0058
2012-02-23,25.66,25.66,25.66,25.66,180,-0.0043
2012-02-24,25.73,25.73,25.73,25.73,11570,0.0027
2012-03-02,25.91,25.91,25.91,25.91,5250,0.007
2012-03-06,24.88,24.88,24.88,24.88,5050,-0.0398
2012-03-14,26.37,26.37,26.37,26.37,9540,0.0599
2012-03-16,26.3,26.3,26.3,26.3,320000,-0.0027
2012-03-19,26.23,26.23,26.23,26.23,380,-0.0027
2012-03-21,25.91,25.91,25.91,25.91,9600,-0.0122
2012-03-22,25.55,25.55,25.55,25.55,7500,-0.0139
2012-03-29,24.79,24.79,24.79,24.79,364560,-0.0297
2012-04-03,25.25,25.25,25.25,25.25,510,0.0186
2012-04-04,24.2,24.2,24.2,24.2,300,-0.0416
2012-04-05,24.11,24.11,24.11,24.11,6300,-0.0037
2012-04-10,24.25,24.25,24.25,24.25,10,0.0058
2012-04-11,23.68,23.68,23.68,23.68,2300,-0.0235
2012-04-13,23.5,23.5,23.5,23.5,30,-0.0076
2012-04-16,23.36,23.36,23.36,23.36,31450,-0.006
2012-04-19,23.7,23.7,23.7,23.7,1690,0.0146
2012-04-23,22.98,22.98,22.98,22.98,72060,-0.0304
2012-05-08,23.08,23.08,23.08,23.08,7480,0.0044
2012-05-09,22.67,22.67,22.67,22.67,47250,-0.0178
2012-05-16,22.22,22.22,22.22,22.22,20,-0.0199
2012-05-21,22.16,22.16,22.16,22.16,2000,-0.0027
2012-05-23,22.43,22.43,22.43,22.43,44860,0.0122
2012-05-28,22.54,22.54,22.54,22.54,200,0.0049
2012-05-31,22.05,22.05,22.05,22.05,1150,-0.0217
2012-06-08,22.29,22.29,22.29,22.29,5000,0.0109
2012-06-19,22.05,22.05,22.05,22.05,2700,-0.0108
2012-06-25,22.5,22.5,22.5,22.5,270,0.0204
2012-06-26,21.83,21.83,21.83,21.83,540,-0.0298
2012-06-29,22.52,22.52,22.52,22.52,3450,0.0316
2012-07-02,23.32,23.32,23.32,23.32,33720,0.0355
2012-07-05,23.75,23.75,23.75,23.75,130,0.0184
2012-07-09,23,23,23,23,320,-0.0316
2012-07-10,23.5,23.5,23.5,23.5,270,0.0217
2012-07-11,22.96,22.96,22.96,22.96,71800,-0.023
2012-07-12,22.91,22.91,22.91,22.91,310,-0.0022
2012-07-18,23.07,23.07,23.07,23.07,780,0.007
2012-07-20,22.75,22.75,22.75,22.75,320,-0.0139
2012-08-06,24.48,24.48,24.48,24.48,4000,0.076
2012-08-08,24.86,24.86,24.86,24.86,1900,0.0155
2012-08-09,24.76,24.76,24.76,24.76,11000,-0.004
2012-08-15,24.88,24.88,24.88,24.88,150,0.0048
2012-09-10,25.84,25.84,25.84,25.84,650,0.0386
2012-09-12,26.28,26.28,26.28,26.28,30000,0.017
2012-09-19,25.7,25.7,25.7,25.7,1690,-0.0221
2012-09-24,25.76,25.76,25.76,25.76,74000,0.0023
2012-09-27,25.23,25.23,25.23,25.23,60000,-0.0206
2012-10-05,25.46,25.46,25.46,25.46,410,0.0091
2012-10-10,25.25,25.25,25.25,25.25,10,-0.0082
2012-10-30,25.42,25.42,25.42,25.42,1700,0.0067
2012-11-15,24.85,24.85,24.85,24.85,61000,-0.0224
2012-12-06,26.36,26.36,26.36,26.36,210500,0.0608
2012-12-07,26.24,26.24,26.24,26.24,92000,-0.0046
2012-12-28,26.63,26.63,26.63,26.63,8440,0.0149
2013-01-03,27.31,27.31,27.31,27.31,160000,0.0255
2013-01-10,27.5,27.5,27.5,27.5,50,0.007
2013-01-11,27.49,27.49,27.49,27.49,350000,-0.0004
2013-01-14,27.47,27.47,27.47,27.47,115000,-0.0007
2013-01-15,27.34,27.34,27.34,27.34,14400,-0.0047
2013-01-17,27.36,27.36,27.36,27.36,32800,0.0007
2013-01-21,27.61,27.61,27.61,27.61,150000,0.0091
2013-01-25,27.8,27.8,27.8,27.8,132830,0.0069
2013-01-30,27.71,27.71,27.71,27.71,10350,-0.0032
2013-01-31,27.42,27.42,27.42,27.42,16190,-0.0105
2013-02-01,27.48,27.48,27.48,27.48,118600,0.0022
2013-02-04,26.61,26.61,26.61,26.61,150000,-0.0317
2013-02-06,26.73,26.73,26.73,26.73,30000,0.0045
2013-02-11,26.62,26.62,26.62,26.62,340,-0.0041
2013-02-13,27,27,27,27,2590,0.0143
2013-02-15,26.52,26.52,26.52,26.52,6900,-0.0178
2013-02-19,27,27,27,27,1800,0.0181
2013-02-27,26.08,26.08,26.08,26.08,22100,-0.0341
2013-03-08,27.64,27.64,27.64,27.64,160580,0.0598
2013-03-11,27.52,27.52,27.52,27.52,6350,-0.0043
2013-03-25,27.12,27.12,27.12,27.12,320,-0.0145
2013-03-26,26.63,26.63,26.63,26.63,170,-0.0181
2013-04-02,26.92,26.92,26.92,26.92,623640,0.0109
