Date,Close,Open,High,Low,Volume,Change
2015-11-04,492.29,0.0,492.29,491.9,0.0,0.005
2015-11-05,488.74,0.0,491.27,488.74,0.0,-0.0072
2015-11-06,487.93,0.0,489.44,487.93,0.0,-0.0017000000000000001
2015-11-09,483.48,0.0,489.1,483.48,0.0,-0.0091
2015-11-10,481.89,0.0,485.26,481.89,0.0,-0.0033
2015-11-11,483.7,0.0,483.7,483.7,0.0,0.0038
2015-11-12,475.33,0.0,481.32,475.33,0.0,-0.0173
2015-11-13,470.51,0.0,473.6,470.51,0.0,-0.0101
2015-11-16,472.77,0.0,472.77,469.05,0.0,0.0048
2015-11-17,482.33,0.0,482.33,477.54,0.0,0.0202
2015-11-18,483.16,0.0,483.16,479.31,0.0,0.0017000000000000001
2015-11-19,487.47,0.0,487.47,485.97,0.0,0.0089
2015-11-20,487.74,0.0,488.91,487.74,0.0,0.0006
2015-11-23,485.61,0.0,485.61,483.64,0.0,-0.0044
2015-11-24,483.27,0.0,483.27,483.04,0.0,-0.0048
2015-11-25,488.02,0.0,488.02,485.09,0.0,0.0098
2015-11-26,492.64,0.0,492.64,488.4,0.0,0.0095
2015-11-27,491.02,0.0,491.02,489.23,0.0,-0.0033
2015-11-30,489.68,0.0,489.68,489.68,0.0,-0.0027
2015-12-01,492.85,0.0,492.85,491.96,0.0,0.006500000000000001
2015-12-02,494.69,0.0,494.69,493.16,0.0,0.0037
2015-12-03,483.38,0.0,493.88,483.38,0.0,-0.0229
2015-12-04,480.54,0.0,481.29,480.54,0.0,-0.0059
2015-12-07,479.39,0.0,481.23,479.39,0.0,-0.0024
2015-12-15,463.66,0.0,463.66,463.66,0.0,-0.032799999999999996
2015-12-16,466.96,0.0,466.96,465.02,0.0,0.0070999999999999995
2015-12-17,470.28,0.0,473.44,470.28,0.0,0.0070999999999999995
2015-12-18,466.16,0.0,467.33,466.16,0.0,-0.0088
2015-12-21,464.83,0.0,465.41,464.83,0.0,-0.0029
2015-12-22,468.63,0.0,468.63,467.52,0.0,0.008199999999999999
2015-12-23,481.04,0.0,481.04,473.39,0.0,0.0265
2015-12-29,486.93,0.0,486.93,482.06,0.0,0.012199999999999999
2015-12-30,483.54,0.0,484.13,483.54,0.0,-0.006999999999999999
2016-01-04,469.35,0.0,469.35,469.35,0.0,-0.029300000000000003
2016-01-05,473.07,0.0,474.36,473.07,0.0,0.0079
2016-01-06,467.97,0.0,470.98,467.97,0.0,-0.0108
2016-01-07,458.58,0.0,459.13,458.58,0.0,-0.020099999999999996
2016-01-08,455.37,0.0,461.08,455.37,0.0,-0.006999999999999999
2016-01-11,452.42,0.0,454.81,452.42,0.0,-0.006500000000000001
2016-01-12,457.03,0.0,457.03,453.22,0.0,0.0102
