Date,Close,Open,High,Low,Volume,Change
2000-12-05,14573.21,14602.25,14701.98,14507.5,0.0,0.001
2000-12-06,15098.95,14914.54,15178.27,14914.54,0.0,0.0361
2000-12-07,15011.52,14982.92,15032.27,14839.38,0.0,-0.0058
2000-12-08,15189.33,15008.8,15281.81,14968.64,0.0,0.0118
2000-12-11,15408.54,15274.07,15438.89,15193.49,0.0,0.0144
2000-12-12,15329.6,15498.45,15548.26,15319.84,0.0,-0.0051
2000-12-13,15621.73,14986.08,15637.78,14986.08,0.0,0.0191
2000-12-14,15496.99,15543.85,15597.63,15441.58,0.0,-0.008
2000-12-15,14975.53,15290.6,15290.6,14914.05,0.0,-0.0336
2000-12-18,15024.53,14901.43,15039.46,14766.85,0.0,0.0033
2000-12-19,15188.04,15074.36,15192.22,15014.77,0.0,0.0109
2000-12-20,14930.72,15048.51,15048.51,14839.49,0.0,-0.0169
2000-12-21,14659.32,14775.97,14775.97,14476.79,0.0,-0.0182
2000-12-22,14738.21,14730.51,14851.86,14707.75,0.0,0.0054
2000-12-27,14748.36,14811.95,14941.23,14727.45,0.0,0.0007000000000000001
2000-12-28,14796.55,14785.15,14900.14,14737.95,0.0,0.0033
2000-12-29,15095.53,14864.04,15154.92,14785.01,0.0,0.0202
2001-01-02,14869.94,15089.85,15089.85,14865.66,0.0,-0.0149
2001-01-03,14589.58,14751.33,14751.33,14512.71,0.0,-0.0189
2001-01-04,15235.03,15060.6,15312.61,15060.6,0.0,0.044199999999999996
2001-01-05,15447.61,15354.16,15494.56,15275.9,0.0,0.013999999999999999
2001-01-08,15436.53,15328.12,15451.72,15200.52,0.0,-0.0007000000000000001
2001-01-09,15500.59,15438.3,15555.97,15336.62,0.0,0.0040999999999999995
2001-01-10,15435.79,15395.97,15539.3,15327.7,0.0,-0.0042
2001-01-11,15090.77,15441.3,15481.76,15060.81,0.0,-0.022400000000000003
2001-01-12,15295.42,15157.37,15330.15,15157.37,0.0,0.013600000000000001
2001-01-15,15293.76,15288.81,15388.02,15146.65,0.0,-0.0001
2001-01-16,15363.15,15290.7,15430.95,15241.9,0.0,0.0045000000000000005
2001-01-17,15261.48,15409.38,15451.39,15154.02,0.0,-0.0066
2001-01-18,15528.75,15292.84,15553.51,15292.84,0.0,0.0175
2001-01-19,15933.55,15682.35,15964.93,15682.35,0.0,0.026099999999999998
2001-01-22,16099.27,15967.66,16106.16,15906.58,0.0,0.0104
2001-01-23,16044.21,16053.22,16099.06,15940.26,0.0,-0.0034000000000000002
2001-01-29,16099.82,16176.1,16255.11,15980.51,0.0,0.0034999999999999996
2001-01-30,15893.07,16145.28,16167.95,15877.23,0.0,-0.0128
2001-01-31,16102.35,15916.42,16106.71,15905.51,0.0,0.0132
2001-02-01,16163.99,16055.64,16193.17,15913.07,0.0,0.0038
2001-02-02,16071.29,16165.43,16274.67,16056.2,0.0,-0.005699999999999999
2001-02-05,15830.84,16013.46,16013.46,15753.97,0.0,-0.015
2001-02-06,15913.24,15864.47,15936.48,15819.64,0.0,0.0052
2001-02-07,16049.47,15909.02,16060.32,15871.38,0.0,0.0086
2001-02-08,15909.4,15987.57,15987.57,15794.44,0.0,-0.0087
2001-02-09,15873.28,15882.93,15899.24,15782.88,0.0,-0.0023
2001-02-12,15693.11,15807.64,15807.64,15586.46,0.0,-0.011399999999999999
2001-02-13,15842.72,15801.69,15915.06,15792.76,0.0,0.0095
2001-02-14,15860.42,15821.79,16021.22,15750.96,0.0,0.0011
2001-02-15,15756.37,15865.47,15870.98,15714.77,0.0,-0.0066
2001-02-16,15630.31,15777.4,15813.15,15544.62,0.0,-0.008
2001-02-19,15490.96,15552.94,15573.74,15458.43,0.0,-0.0089
2001-02-20,15527.36,15499.02,15613.44,15437.51,0.0,0.0023
2001-02-21,15351.51,15484.35,15484.35,15298.75,0.0,-0.0113
2001-02-22,15098.64,15202.16,15202.16,15039.08,0.0,-0.0165
2001-02-23,15280.56,15135.3,15302.7,15042.81,0.0,0.012
2001-02-26,15230.22,15278.15,15304.66,15177.8,0.0,-0.0033
2001-02-27,14834.73,14933.59,15059.17,14771.09,0.0,-0.026000000000000002
2001-02-28,14787.87,14702.96,14842.69,14573.54,0.0,-0.0032
2001-03-01,14360.56,14696.47,14696.47,14330.57,0.0,-0.028900000000000002
2001-03-02,13966.43,14285.3,14285.3,13951.43,0.0,-0.0274
2001-03-05,14135.26,14011.3,14200.9,13908.07,0.0,0.0121
2001-03-06,14321.05,14229.17,14346.69,14165.66,0.0,0.0131
2001-03-07,14177.36,14369.5,14432.22,14141.41,0.0,-0.01
2001-03-08,14208.95,14177.86,14247.17,13966.97,0.0,0.0022
2001-03-09,14194.35,14216.99,14288.58,14148.73,0.0,-0.001
2001-03-12,13776.72,13969.05,13969.05,13671.99,0.0,-0.0294
2001-03-13,13493.03,13419.92,13517.08,13277.52,0.0,-0.0206
2001-03-14,13330.84,13485.75,13616.68,13306.94,0.0,-0.012
2001-03-15,13504.17,13056.93,13553.22,12947.59,0.0,0.013000000000000001
2001-03-16,13522.04,13506.73,13560.31,13321.08,0.0,0.0013
2001-03-19,13457.69,13383.81,13537.75,13308.41,0.0,-0.0048
2001-03-20,13223.86,13516.85,13565.97,13200.55,0.0,-0.0174
2001-03-21,13154.44,13160.37,13243.65,12866.4,0.0,-0.0052
2001-03-22,12621.85,12992.29,12992.29,12585.77,0.0,-0.0405
2001-03-23,12583.36,12570.45,12705.12,12396.97,0.0,-0.003
2001-03-26,12950.49,12678.9,12991.88,12678.9,0.0,0.0292
2001-03-27,12707.9,12959.54,13056.32,12662.57,0.0,-0.0187
2001-03-28,12851.41,12824.22,13015.73,12779.34,0.0,0.0113
2001-03-29,12677.89,12729.79,12768.67,12523.61,0.0,-0.013500000000000002
2001-03-30,12760.64,12689.11,12802.52,12578.36,0.0,0.006500000000000001
2001-04-02,12727.3,12750.31,12843.9,12634.28,0.0,-0.0026
2001-04-03,12584.22,12688.22,12688.22,12532.53,0.0,-0.011200000000000002
2001-04-04,12063.71,12427.79,12427.79,12062.84,0.0,-0.0414
2001-04-06,12386.61,12446.24,12606.15,12374.53,0.0,0.0268
2001-04-09,12202.1,12355.61,12355.61,12061.55,0.0,-0.0149
2001-04-10,12213.67,12263.59,12321.51,12110.0,0.0,0.0009
2001-04-11,12706.43,12429.88,12728.6,12429.88,0.0,0.0403
2001-04-12,12989.47,12778.66,13018.57,12769.25,0.0,0.0223
2001-04-17,12606.45,12881.52,12881.52,12597.36,0.0,-0.029500000000000002
2001-04-18,12972.8,12761.41,12988.15,12761.41,0.0,0.0291
2001-04-19,13548.95,13446.06,13621.8,13425.56,0.0,0.0444
2001-04-20,13448.13,13570.69,13570.69,13412.29,0.0,-0.0074
2001-04-23,13311.5,13444.41,13444.41,13282.96,0.0,-0.0102
2001-04-24,13274.61,13250.89,13279.33,13157.4,0.0,-0.0028000000000000004
2001-04-25,13249.55,13275.59,13346.2,13139.09,0.0,-0.0019
2001-04-26,13293.11,13324.55,13408.7,13237.18,0.0,0.0033
2001-04-27,13386.04,13282.34,13391.47,13125.36,0.0,0.006999999999999999
2001-05-02,13814.24,13596.27,13841.41,13596.27,0.0,0.032
2001-05-03,13718.14,13768.57,13844.36,13646.22,0.0,-0.006999999999999999
2001-05-04,13390.99,13599.47,13599.47,13319.39,0.0,-0.023799999999999998
2001-05-07,13600.78,13464.34,13652.15,13437.02,0.0,0.015700000000000002
2001-05-08,13540.81,13599.63,13599.63,13445.98,0.0,-0.0044
2001-05-09,13585.14,13527.0,13643.49,13408.99,0.0,0.0033
2001-05-10,13604.8,13540.87,13726.45,13462.24,0.0,0.0014000000000000002
2001-05-11,13636.61,13602.15,13689.68,13579.21,0.0,0.0023
2001-05-14,13259.17,13608.84,13608.84,13239.15,0.0,-0.0277
2001-05-15,13250.09,13232.76,13350.59,13209.55,0.0,-0.0007000000000000001
2001-05-16,13335.95,13257.77,13566.38,13228.92,0.0,0.006500000000000001
2001-05-17,13637.87,13550.78,13713.06,13550.78,0.0,0.0226
2001-05-18,13459.18,13631.4,13631.4,13449.04,0.0,-0.0131
2001-05-21,13721.27,13465.72,13732.4,13465.72,0.0,0.0195
2001-05-22,13877.95,13775.35,13929.47,13775.35,0.0,0.011399999999999999
2001-05-23,13839.1,13873.22,13989.16,13798.32,0.0,-0.0028000000000000004
2001-05-24,13810.6,13770.01,13813.26,13649.71,0.0,-0.0021
2001-05-25,13753.99,13853.5,13956.69,13732.89,0.0,-0.0040999999999999995
2001-05-28,13739.07,13738.07,13756.81,13674.73,0.0,-0.0011
