Date,Close,Open,High,Low,Volume,Change
1980-03-18,138.92,138.92,138.92,138.92,0.0,-0.005600000000000001
1980-03-19,139.97,139.97,139.97,139.97,0.0,0.0076
1980-03-20,139.64,139.64,139.64,139.64,0.0,-0.0024
1980-03-21,138.8,138.8,138.8,138.8,0.0,-0.006
1980-03-24,134.61,134.61,134.61,134.61,0.0,-0.0302
1980-03-25,132.52,132.52,132.52,132.52,0.0,-0.0155
1980-03-26,132.22,132.22,132.22,132.22,0.0,-0.0023
1980-03-27,124.09,124.09,124.09,124.09,0.0,-0.061500000000000006
1980-03-28,129.25,129.25,129.25,129.25,0.0,0.0416
1980-03-31,131.0,131.0,131.0,131.0,0.0,0.013500000000000002
1980-04-01,133.14,133.14,133.14,133.14,0.0,0.0163
1980-04-02,135.8,135.8,135.8,135.8,0.0,0.02
1980-04-03,136.01,136.01,136.01,136.01,0.0,0.0015
1980-04-07,133.4,133.4,133.4,133.4,0.0,-0.0192
1980-04-08,134.37,134.37,134.37,134.37,0.0,0.0073
1980-04-09,136.04,136.04,136.04,136.04,0.0,0.0124
1980-04-10,137.28,137.28,137.28,137.28,0.0,0.0091
1980-04-11,137.75,137.75,137.75,137.75,0.0,0.0034000000000000002
1980-04-14,136.67,136.67,136.67,136.67,0.0,-0.0078000000000000005
1980-04-15,136.39,136.39,136.39,136.39,0.0,-0.002
1980-04-16,135.76,135.76,135.76,135.76,0.0,-0.0046
1980-04-17,134.55,134.55,134.55,134.55,0.0,-0.0089
1980-04-18,134.66,134.66,134.66,134.66,0.0,0.0008
1980-04-21,133.08,133.08,133.08,133.08,0.0,-0.011699999999999999
1980-04-22,135.71,135.71,135.71,135.71,0.0,0.019799999999999998
1980-04-23,136.92,136.92,136.92,136.92,0.0,0.0089
1980-04-24,138.69,138.69,138.69,138.69,0.0,0.0129
1980-04-25,137.92,137.92,137.92,137.92,0.0,-0.005600000000000001
1980-04-28,138.54,138.54,138.54,138.54,0.0,0.0045000000000000005
1980-04-29,139.35,139.35,139.35,139.35,0.0,0.0058
1980-04-30,139.99,139.99,139.99,139.99,0.0,0.0046
1980-05-01,139.68,139.68,139.68,139.68,0.0,-0.0022
1980-05-02,140.25,140.25,140.25,140.25,0.0,0.0040999999999999995
1980-05-05,141.04,141.04,141.04,141.04,0.0,0.005600000000000001
1980-05-06,142.23,142.23,142.23,142.23,0.0,0.0084
1980-05-07,143.58,143.58,143.58,143.58,0.0,0.0095
1980-05-08,143.26,143.26,143.26,143.26,0.0,-0.0022
1980-05-09,143.06,143.06,143.06,143.06,0.0,-0.0014000000000000002
1980-05-12,142.96,142.96,142.96,142.96,0.0,-0.0007000000000000001
1980-05-13,144.1,144.1,144.1,144.1,0.0,0.008
1980-05-14,145.66,145.66,145.66,145.66,0.0,0.0108
1980-05-15,146.62,146.62,146.62,146.62,0.0,0.0066
1980-05-16,147.24,147.24,147.24,147.24,0.0,0.0042
1980-05-19,147.24,147.24,147.24,147.24,0.0,0.0
1980-05-20,146.93,146.93,146.93,146.93,0.0,-0.0021
1980-05-21,146.75,146.75,146.75,146.75,0.0,-0.0012
1980-05-22,147.96,147.96,147.96,147.96,0.0,0.008199999999999999
1980-05-23,149.48,149.48,149.48,149.48,0.0,0.0103
1980-05-27,150.1,150.1,150.1,150.1,0.0,0.0040999999999999995
1980-05-28,150.7,150.7,150.7,150.7,0.0,0.004
1980-05-29,150.09,150.09,150.09,150.09,0.0,-0.004
1980-05-30,150.45,150.45,150.45,150.45,0.0,0.0024
1980-06-02,150.17,150.17,150.17,150.17,0.0,-0.0019
1980-06-03,149.92,149.92,149.92,149.92,0.0,-0.0017000000000000001
1980-06-04,151.21,151.21,151.21,151.21,0.0,0.0086
1980-06-05,152.21,152.21,152.21,152.21,0.0,0.0066
1980-06-06,152.68,152.68,152.68,152.68,0.0,0.0031
1980-06-09,153.0,153.0,153.0,153.0,0.0,0.0021
1980-06-10,154.15,154.15,154.15,154.15,0.0,0.0075
1980-06-11,155.22,155.22,155.22,155.22,0.0,0.0069
1980-06-12,155.31,155.31,155.31,155.31,0.0,0.0006
1980-06-13,156.59,156.59,156.59,156.59,0.0,0.008199999999999999
1980-06-16,156.79,156.79,156.79,156.79,0.0,0.0013
1980-06-17,156.98,156.98,156.98,156.98,0.0,0.0012
1980-06-18,157.19,157.19,157.19,157.19,0.0,0.0013
1980-06-19,156.73,156.73,156.73,156.73,0.0,-0.0029
1980-06-20,156.51,156.51,156.51,156.51,0.0,-0.0014000000000000002
1980-06-23,156.99,156.99,156.99,156.99,0.0,0.0031
1980-06-24,157.66,157.66,157.66,157.66,0.0,0.0043
1980-06-25,158.74,158.74,158.74,158.74,0.0,0.0069
1980-06-26,159.0,159.0,159.0,159.0,0.0,0.0016
1980-06-27,159.18,159.18,159.18,159.18,0.0,0.0011
1980-06-30,157.78,157.78,157.78,157.78,0.0,-0.0088
1980-07-01,158.17,158.17,158.17,158.17,0.0,0.0025
1980-07-02,159.18,159.18,159.18,159.18,0.0,0.0064
1980-07-03,160.87,160.87,160.87,160.87,0.0,0.0106
1980-07-07,163.63,163.63,163.63,163.63,0.0,0.0172
1980-07-08,163.58,163.58,163.58,163.58,0.0,-0.0003
1980-07-09,164.09,164.09,164.09,164.09,0.0,0.0031
1980-07-10,163.84,163.84,163.84,163.84,0.0,-0.0015
1980-07-11,164.82,164.82,164.82,164.82,0.0,0.006
1980-07-14,166.52,166.52,166.52,166.52,0.0,0.0103
1980-07-15,167.05,167.05,167.05,167.05,0.0,0.0032
1980-07-16,167.1,167.1,167.1,167.1,0.0,0.0003
1980-07-17,168.67,168.67,168.67,168.67,0.0,0.009399999999999999
1980-07-18,169.99,169.99,169.99,169.99,0.0,0.0078000000000000005
1980-07-21,170.48,170.48,170.48,170.48,0.0,0.0029
1980-07-22,169.79,169.79,169.79,169.79,0.0,-0.004
1980-07-23,169.82,169.82,169.82,169.82,0.0,0.0002
1980-07-24,169.92,169.92,169.92,169.92,0.0,0.0006
1980-07-25,169.63,169.63,169.63,169.63,0.0,-0.0017000000000000001
1980-07-28,170.02,170.02,170.02,170.02,0.0,0.0023
1980-07-29,171.06,171.06,171.06,171.06,0.0,0.0060999999999999995
1980-07-30,172.33,172.33,172.33,172.33,0.0,0.0074
1980-07-31,171.81,171.81,171.81,171.81,0.0,-0.003
1980-08-01,172.49,172.49,172.49,172.49,0.0,0.004
1980-08-04,171.89,171.89,171.89,171.89,0.0,-0.0034999999999999996
1980-08-05,172.52,172.52,172.52,172.52,0.0,0.0037
1980-08-06,173.45,173.45,173.45,173.45,0.0,0.0054
1980-08-07,175.24,175.24,175.24,175.24,0.0,0.0103
1980-08-08,175.88,175.88,175.88,175.88,0.0,0.0037
1980-08-11,177.11,177.11,177.11,177.11,0.0,0.006999999999999999
1980-08-12,176.62,176.62,176.62,176.62,0.0,-0.0028000000000000004
1980-08-13,177.02,177.02,177.02,177.02,0.0,0.0023
1980-08-14,178.76,178.76,178.76,178.76,0.0,0.0098
1980-08-15,179.89,179.89,179.89,179.89,0.0,0.0063
1980-08-18,177.24,177.24,177.24,177.24,0.0,-0.0147
1980-08-19,176.28,176.28,176.28,176.28,0.0,-0.0054
1980-08-20,177.68,177.68,177.68,177.68,0.0,0.0079
1980-08-21,179.91,179.91,179.91,179.91,0.0,0.0126
1980-08-22,181.7,181.7,181.7,181.7,0.0,0.009899999999999999
1980-08-25,181.58,181.58,181.58,181.58,0.0,-0.0007000000000000001
1980-08-26,182.39,182.39,182.39,182.39,0.0,0.0045000000000000005
1980-08-27,182.15,182.15,182.15,182.15,0.0,-0.0013
1980-08-28,180.99,180.99,180.99,180.99,0.0,-0.0064
1980-08-29,181.52,181.52,181.52,181.52,0.0,0.0029
1980-09-02,182.34,182.34,182.34,182.34,0.0,0.0045000000000000005
1980-09-03,184.53,184.53,184.53,184.53,0.0,0.012
1980-09-04,185.05,185.05,185.05,185.05,0.0,0.0028000000000000004
1980-09-05,185.61,185.61,185.61,185.61,0.0,0.003
1980-09-08,184.45,184.45,184.45,184.45,0.0,-0.0062
1980-09-09,184.84,184.84,184.84,184.84,0.0,0.0021
1980-09-10,186.31,186.31,186.31,186.31,0.0,0.008
1980-09-11,188.16,188.16,188.16,188.16,0.0,0.009899999999999999
1980-09-12,189.58,189.58,189.58,189.58,0.0,0.0075
1980-09-15,189.59,189.59,189.59,189.59,0.0,0.0001
1980-09-16,191.31,191.31,191.31,191.31,0.0,0.0091
1980-09-17,193.95,193.95,193.95,193.95,0.0,0.0138
1980-09-18,193.61,193.61,193.61,193.61,0.0,-0.0018
1980-09-19,195.33,195.33,195.33,195.33,0.0,0.0089
1980-09-22,195.94,195.94,195.94,195.94,0.0,0.0031
1980-09-23,195.05,195.05,195.05,195.05,0.0,-0.0045000000000000005
1980-09-24,195.18,195.18,195.18,195.18,0.0,0.0007000000000000001
1980-09-25,194.05,194.05,194.05,194.05,0.0,-0.0058
1980-09-26,190.77,190.77,190.77,190.77,0.0,-0.0169
1980-09-29,185.79,185.79,185.79,185.79,0.0,-0.026099999999999998
