Date,Close,Open,High,Low,Volume,Change
2008-12-10,1.066,0.902,1.166,0.902,9890000.0,0.1104
2008-12-11,1.05,1.135,1.135,1.02,5130000.0,-0.015
2008-12-12,0.998,1.0,1.03,0.96,1290000.0,-0.0495
2008-12-15,0.931,0.98,1.037,0.9,2890000.0,-0.06709999999999999
2008-12-16,0.9,0.91,0.948,0.88,4179999.9999999995,-0.0333
2008-12-17,0.902,0.85,0.91,0.84,11520000.0,0.0022
2008-12-18,0.84,0.912,0.927,0.82,13070000.0,-0.0687
2008-12-19,0.86,0.8,0.887,0.8,5120000.0,0.023799999999999998
2008-12-22,0.869,0.86,0.89,0.85,2540000.0,0.0105
2008-12-23,0.863,0.888,0.888,0.831,11940000.0,-0.0069
2008-12-24,0.849,0.878,0.878,0.833,6230000.0,-0.016200000000000003
2008-12-25,0.84,0.833,0.855,0.831,6710000.0,-0.0106
2008-12-26,0.847,0.84,0.852,0.84,10000000.0,0.0083
2008-12-29,0.861,0.792,0.879,0.792,2110000.0,0.0165
2008-12-30,0.86,0.868,0.877,0.836,3600000.0,-0.0012
2008-12-31,0.86,0.87,0.87,0.86,1290000.0,0.0
2009-01-11,0.875,0.841,0.875,0.835,2450000.0,0.0174
2009-01-12,0.851,0.836,0.877,0.833,12080000.0,-0.0274
2009-01-13,0.862,0.851,0.865,0.841,3630000.0,0.0129
2009-01-14,0.85,0.848,0.874,0.839,6190000.0,-0.0139
2009-01-15,0.836,0.85,0.86,0.835,445500.0,-0.0165
2009-01-16,0.85,0.797,0.854,0.797,1560000.0,0.0167
2009-01-19,0.836,0.836,0.865,0.835,1670000.0,-0.0165
2009-01-20,0.838,0.82,0.84,0.816,8500000.0,0.0024
2009-01-21,0.802,0.835,0.838,0.8,3250000.0,-0.043
2009-01-22,0.797,0.807,0.807,0.756,1540000.0,-0.0062
2009-01-23,0.729,0.799,0.8,0.607,1930000.0,-0.08529999999999999
2009-01-26,0.692,0.72,0.721,0.606,4710000.0,-0.0508
2009-01-27,0.695,0.68,0.71,0.675,2840000.0,0.0043
2009-01-28,0.693,0.67,0.7,0.67,271700.0,-0.0029
2009-01-29,0.66,0.675,0.675,0.66,3030000.0,-0.047599999999999996
2009-01-30,0.669,0.624,0.671,0.622,2520000.0,0.013600000000000001
2009-02-02,0.641,0.669,0.685,0.566,3670000.0,-0.04190000000000001
2009-02-03,0.651,0.621,0.685,0.62,2560000.0,0.015600000000000001
2009-02-04,0.66,0.656,0.667,0.65,4840000.0,0.0138
2009-02-05,0.665,0.661,0.675,0.66,3490000.0,0.0076
2009-02-06,0.664,0.665,0.665,0.6,1240000.0,-0.0015
2009-02-09,0.675,0.618,0.675,0.618,5890000.0,0.0166
2009-02-10,0.675,0.675,0.696,0.67,3970000.0,0.0
2009-02-11,0.714,0.674,0.72,0.615,11060000.0,0.057800000000000004
2009-02-12,0.77,0.713,0.79,0.689,11250000.0,0.0784
2009-02-13,0.86,0.799,0.86,0.77,9950000.0,0.11689999999999999
2009-02-16,0.88,0.88,0.91,0.819,18630000.0,0.0233
2009-02-17,0.867,0.896,0.896,0.822,3070000.0,-0.0148
2009-02-18,0.861,0.877,0.898,0.849,19210000.0,-0.0069
2009-02-19,0.88,0.853,0.9,0.853,10770000.0,0.022099999999999998
